cycle_number,cycle_normalized,lifecycle_stage,cycles_from_start,cycle_capacity_ah,avg_temp_c,avg_voltage_v,avg_current_a,internal_resistance,capacity_fade_rate,ir_growth_rate,ir_cumulative_growth,cap_normalized,arrhenius_factor,src_calce,src_nasa,src_stanford,chem_CS2,chem_CX2,chem_LFP,chem_NMC
725,0.8339100345924578,2,723,1.003959,34.594048244937376,3.8257,-0.05865,0.017163327,-0.0006106181818181,-4.7436000000001394e-05,0.0007869399999999,0.9230525232818249,3.258303842026506e-09,0,0,1,0,0,1,0
471,0.4510556621837711,1,470,0.805159,34.03493465930351,3.8675,-0.0284,0.098926,-0.0018362484848484,0.001337,0.068424,0.7953766624287882,3.144446448073661e-09,1,0,0,1,0,0,0
198,0.3038759689875368,0,196,1.071645,33.762980845945926,3.8257,-0.05865,0.01671109,-1.1787878787911277e-05,-9.113199999999724e-05,0.000103155,0.9970469446483547,3.090368198314341e-09,0,0,1,0,0,1,0
725,0.72399999999276,2,724,1.024873,36.5878367992512,3.8257,-0.05865,0.015892642,-0.0001010545454545,7.258999999999044e-06,-2.6814000000000004e-05,0.9713257538421878,3.695069580276461e-09,0,0,1,0,0,1,0
391,0.5549215406482892,1,389,1.060234,34.2806153354898,3.8257,-0.05865,0.016615588,-0.0001805818181817,-3.0327999999999605e-05,0.000134904,0.9836727801735335,3.194029119521889e-09,0,0,1,0,0,1,0
600,0.4885620914992765,1,598,1.063948,32.29776246036294,3.8257,-0.05865,0.016777365,2.7606060606097072e-05,-6.505999999999873e-06,-1.0063000000001128e-05,0.9865831120985666,2.813119686097064e-09,0,0,1,0,0,1,0
408,0.4799528301830194,1,407,1.046593,37.022181663080296,3.8257,-0.05865,0.014886532,-7.972121212121685e-05,2.210999999998492e-06,-0.000227921,0.9880425844859474,3.796914094744375e-09,0,0,1,0,0,1,0
569,0.6167209554764742,1,568,1.029733,37.807152200572204,3.8257,-0.05865,0.015169405,-8.133333333332981e-05,-2.8245999999999133e-05,-0.0001137329999999,0.9738569818115788,3.987377865307118e-09,0,0,1,0,0,1,0
328,0.661943319824657,2,327,1.027947,32.87490263189276,3.8257,-0.05865,0.017733715,-0.0003782363636363,-0.0001493459999999,8.24980000000003e-05,0.9675924531427668,2.9195398267043903e-09,0,0,1,0,0,1,0
1697,0.9775216138272188,2,1696,1.303017,34.03493465930351,3.8215,-0.0633,0.085752,-0.0034356303030303,0.0003589999999999,0.0495619999999999,1.0301490573824277,3.144446448073661e-09,1,0,0,0,1,0,0
